review,sentiment
Product is amazing and works perfectly,positive
Very good quality and durable,positive
"Excellent product, highly recommended",positive
Worth every rupee,positive
"Loved the product, very useful",positive
Exceeded my expectations in every way,positive
Outstanding value and superb performance,positive
I am very happy with this purchase,positive
High-quality product and fast delivery,positive
"Great design, works exactly as advertised",positive
Product is disappointing and does not work as expected,negative
Poor quality and not worth the money,negative
Very dissatisfied with this product,negative
"Not recommended, waste of money",negative
Completely disappointed with the purchase,negative
"Terrible experience, the product stopped working after one day",negative
The item arrived damaged and customer support was useless,negative
"Extremely poor build quality, completely regret buying",negative
The product is overpriced and underperforms,negative
"Not happy at all, it failed to meet expectations",negative
"The product is okay, nothing special",neutral
"Average quality, does the job",neutral
"Not bad, but not great either",neutral
It's fine for the price,neutral
"Neither good nor bad, just average",neutral
Works as expected without standing out,neutral
Fair quality for the cost,neutral
"Meets the basic needs, nothing extra",neutral
"Acceptable performance, but not impressive",neutral
A decent option if you are not looking for anything special,neutral
